Alderfall Property - Financial Transactions 2025
Report Generated: February 8, 2026
Date,What,Amount,Paid To
1/3/25,Timber Sale - Oak lot,125000,Sawyer Brothers Logging
1/15/2025,Equipment Rental - Excavator,$2,500,Reliable Rentals LLC
Jan 28 2025,Property Tax Q1,$8,450,County Tax Assessor
2/5/25,Forester Consulting,-$3,200,New England Forestry Group
2/14/2025,Road Maintenance,1500,Local Contractors
3/1/25,Equipment Rental - Tractor,$1,800,Reliable Rentals LLC
3/15/25,Property Tax Q2,8450,County Tax Assessor
4/2/2025,Timber Sale - Pine stand,87500,Green Wood Industries
4/20/25,Surveyor Services,$2,100,Precision Land Surveys
5/1/25,Property Tax Q3,$8,450,County Tax Assessor
5/10/25,Equipment Rental - Chipper,1200,Reliable Rentals LLC
6/15/25,Forester Consulting,3200,New England Forestry Group
Jul 20 2025,Property Tax Q4,8450,County Tax Assessor
8/5/2025,Boundary Line Maintenance,$950,Local Contractors
9/12/25,Emergency Equipment Repair,$250000,Industrial Equipment Services
10/3/25,Insurance Premium,6800,State Farm Insurance
